VIN,EVENTTIME,DATEHOUR,ODOMETERVALUE,FUELAMOUNT,AUTONOMYDISTANCE,DISTANCETOSERVICEVALUE
0022bce2ad006326afe7,1663065161813,2022-09-13 07:32:41.813,10036,37,350,1964
0022bce2ad006326afe7,1663081578622,2022-09-13 12:06:18.622,10042,36,345,1958
0022bce2ad006326afe7,1663082468878,2022-09-13 12:21:08.878,10044,36,341,1956
0022bce2ad006326afe7,1663086845016,2022-09-13 13:34:05.016,10051,34,319,1949
0022bce2ad006326afe7,1663103720807,2022-09-13 18:15:20.807,10059,33,314,1941
0022bce2ad006326afe7,1663107414701,2022-09-13 19:16:54.701,10060,33,311,1940
0022bce2ad006326afe7,1663151723977,2022-09-14 07:35:23.977,10067,33,308,1933
0022bce2ad006326afe7,1663167879598,2022-09-14 12:04:39.598,10070,32,306,1930
0022bce2ad006326afe7,1663168531686,2022-09-14 12:15:31.686,10075,31,306,1925
0022bce2ad006326afe7,1663173453424,2022-09-14 13:37:33.424,10083,30,288,1917
00277cd7a10bb6486ed4,1662030837745,2022-09-01 08:13:57.745,10714,19,184,1288
00277cd7a10bb6486ed4,1662033199365,2022-09-01 08:53:19.365,10731,17,165,1271
00277cd7a10bb6486ed4,1662034463032,2022-09-01 09:14:23.032,10734,17,162,1268
00277cd7a10bb6486ed4,1662046953161,2022-09-01 12:42:33.161,10736,16,155,1266
00277cd7a10bb6486ed4,1662047119132,2022-09-01 12:45:19.132,10736,60,564,1266
00277cd7a10bb6486ed4,1662047882428,2022-09-01 12:58:02.428,10737,60,561,1265
00277cd7a10bb6486ed4,1662050805866,2022-09-01 13:46:45.866,10766,60,574,1236
00277cd7a10bb6486ed4,1662115264617,2022-09-02 07:41:04.617,10794,60,585,1208
00277cd7a10bb6486ed4,1662116412776,2022-09-02 08:00:12.776,10797,60,582,1205
00277cd7a10bb6486ed4,1662135847102,2022-09-02 13:24:07.102,10800,60,578,1202
00277cd7a10bb6486ed4,1662136618136,2022-09-02 13:36:58.136,10801,60,575,1201
00277cd7a10bb6486ed4,1662141980516,2022-09-02 15:06:20.516,10815,58,558,1187
00277cd7a10bb6486ed4,1662142562590,2022-09-02 15:16:02.590,10817,58,552,1185
00277cd7a10bb6486ed4,1662232341074,2022-09-03 16:12:21.074,10839,55,540,1163
00277cd7a10bb6486ed4,1662236009443,2022-09-03 17:13:29.443,10840,54,531,1162
00277cd7a10bb6486ed4,1662239464774,2022-09-03 18:11:04.774,10842,54,523,1160
00277cd7a10bb6486ed4,1662270730642,2022-09-04 02:52:10.642,10859,52,506,1143
00277cd7a10bb6486ed4,1662382715579,2022-09-05 09:58:35.579,10866,51,498,1136
00277cd7a10bb6486ed4,1662414786725,2022-09-05 18:53:06.725,10875,51,487,1127
00277cd7a10bb6486ed4,1662466013098,2022-09-06 09:06:53.098,10882,49,466,1120
00277cd7a10bb6486ed4,1662501414476,2022-09-06 18:56:54.476,10890,48,450,1112
00277cd7a10bb6486ed4,1662568974797,2022-09-07 13:42:54.797,10902,48,455,1100
00277cd7a10bb6486ed4,1662580702877,2022-09-07 16:58:22.877,10908,48,455,1094
